
2024/03/03 (19:32:05) | ===> btop++ v.1.3.0
2024/03/03 (19:32:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/06 (10:21:59) | ===> btop++ v.1.3.0
2024/03/06 (10:21:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/06 (18:03:55) | ===> btop++ v.1.3.0
2024/03/06 (18:03:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/08 (10:15:15) | ===> btop++ v.1.3.0
2024/03/08 (10:15:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/09 (11:53:52) | ===> btop++ v.1.3.0
2024/03/09 (11:53:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/09 (13:03:01) | ===> btop++ v.1.3.0
2024/03/09 (13:03:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/09 (13:11:59) | ===> btop++ v.1.3.0
2024/03/09 (13:11:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/09 (13:12:41) | ===> btop++ v.1.3.0
2024/03/09 (13:12:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/11 (18:17:39) | ===> btop++ v.1.3.0
2024/03/11 (18:17:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (15:49:29) | ===> btop++ v.1.3.0
2024/03/13 (15:49:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (15:52:03) | ===> btop++ v.1.3.0
2024/03/13 (15:52:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/18 (16:28:31) | ===> btop++ v.1.3.0
2024/03/18 (16:28:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
